hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.canvasAns	Answer.comment
3DGDV62G7O9PLZSAA2QN71KSXS42P7	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	1	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/7586.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3DGDV62G7O9PLZSAA2QN71KSXS42P7	33PPO7FECVFMT71GKYPMJ651RYZDIK	A3I31KX31R38F9	Rejected	Sat Dec 16 01:19:17 CST 2017	Fri Dec 01 01:18:59 CST 2017	Fri Dec 01 01:19:17 CST 2017		Fri Dec 01 11:05:18 CST 2017		no answer submitted	y	"{""objects"":[],""background"":""""}"	
3XQ4XW3OD9CMYR822JUH26P3KCB2SN	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/7609.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3XQ4XW3OD9CMYR822JUH26P3KCB2SN	3XIQGXAUMC832TP1S7M1MOIKTZQX7Z	A2MLOF6VG898LQ	Submitted	Fri Dec 15 23:27:43 CST 2017	Thu Nov 30 23:19:15 CST 2017	Thu Nov 30 23:27:43 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":61,""top"":69.25,""width"":321,""height"":191,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
39KV3A5D187TKS588VBCYX6BVSX7S8	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	1	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/7843.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=39KV3A5D187TKS588VBCYX6BVSX7S8	3KWTYT08703TFVUTQV4GDA91VKLL5M	A23EN2JGBLUQ0H	Rejected	Fri Dec 15 23:19:42 CST 2017	Thu Nov 30 23:19:28 CST 2017	Thu Nov 30 23:19:42 CST 2017		Fri Dec 01 11:05:18 CST 2017		no answer submitted	y	"{""objects"":[],""background"":""""}"	
3ZTE0JGGCESKYH8BSV2EUEOOZELCO9	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/8190.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3ZTE0JGGCESKYH8BSV2EUEOOZELCO9	3I02618YA060RVZ6JO5V23A1ZBFPU6	A2MLOF6VG898LQ	Submitted	Fri Dec 15 23:29:21 CST 2017	Thu Nov 30 23:19:03 CST 2017	Thu Nov 30 23:29:21 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":159,""top"":15.25,""width"":176,""height"":272,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
3PN6H8C9R4Q515KOI8S7DPM1VXTAD8	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/11830.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3PN6H8C9R4Q515KOI8S7DPM1VXTAD8	36TFCYNS44A0VIVD5G8DD17E72MXH1	A2MLOF6VG898LQ	Submitted	Fri Dec 15 23:23:00 CST 2017	Thu Nov 30 23:20:09 CST 2017	Thu Nov 30 23:23:00 CST 2017						"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":152,""top"":91.25,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":2.07,""scaleY"":1.97,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":50,""ry"":50}],""background"":""""}"	
3JUDR1D0D6RALBTPAF5C76A22OQ2QY	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/11875.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3JUDR1D0D6RALBTPAF5C76A22OQ2QY	31Z0PCVWUKFWLCGHNXL4XLXEG32T7C	A2MLOF6VG898LQ	Submitted	Fri Dec 15 23:24:00 CST 2017	Thu Nov 30 23:22:38 CST 2017	Thu Nov 30 23:24:00 CST 2017						"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":174,""top"":49.25,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1.27,""scaleY"":1.19,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":93,""ry"":101}],""background"":""""}"	
3U18MJKL1UM2GW8ZRG21FPOJ94GCNU	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/12072.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3U18MJKL1UM2GW8ZRG21FPOJ94GCNU	30IQTZXKAK6PKIPH781S798XLLKX0Z	A2MLOF6VG898LQ	Submitted	Fri Dec 15 23:22:43 CST 2017	Thu Nov 30 23:18:48 CST 2017	Thu Nov 30 23:22:43 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":119,""top"":188.25,""width"":104,""height"":73,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
3XU9MCX6VOCAXC8PNUUCCWK7YAS2RZ	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/12424.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3XU9MCX6VOCAXC8PNUUCCWK7YAS2RZ	3L4PIM1GQTG2KHZQ6H69AJGTWHERYY	A2MLOF6VG898LQ	Submitted	Fri Dec 15 23:22:39 CST 2017	Thu Nov 30 23:19:22 CST 2017	Thu Nov 30 23:22:39 CST 2017						"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":167.02,""top"":97.38,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1.04,""scaleY"":1.02,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":113.5,""ry"":125.5}],""background"":""""}"	
3538U0YQ1FU2F4ZZ0Z8NEHBG10HF3S	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/8238.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3538U0YQ1FU2F4ZZ0Z8NEHBG10HF3S	3YZ8UPK3VTMHX6Q2EJJPI3BU0S0UCX	A1C6OI7KRP6FR9	Submitted	Fri Dec 15 23:19:59 CST 2017	Thu Nov 30 23:18:06 CST 2017	Thu Nov 30 23:19:59 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":234,""top"":41.85,""width"":103,""height"":207,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
3YLTXLH3DF6T0PVSTNTUU5QUMBMHP4	373P3486EFN12GUEF6JZI7RDRU98C8	Object Annotation Task - S - 11302314 - 6-10 - 2	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 23:15:40 CST 2017	1	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/8248.jpg	3600	1296000	Sun Dec 03 23:15:40 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3YLTXLH3DF6T0PVSTNTUU5QUMBMHP4	3OSWBBLG1EXJJ2QBJKPNMGSGFATXDS	A2MLOF6VG898LQ	Submitted	Fri Dec 15 23:28:53 CST 2017	Thu Nov 30 23:19:50 CST 2017	Thu Nov 30 23:28:53 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":122,""top"":40.25,""width"":155,""height"":254,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
