"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.canvasAns"	"Answer.comment"
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"336YQZE83VEDLDCEQ75VDNOQVMN5ME"	"A2J65ZHAJQDKAC"	"Submitted"	"Thu Dec 14 23:14:10 CST 2017"	"Wed Nov 29 23:12:27 CST 2017"	"Wed Nov 29 23:14:10 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":100.01,""top"":5.33,""width"":227,""height"":217,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3A4TN5196KICSKKIEKCQZOM46HCHCR"	"A1AXIY3LLO186R"	"Submitted"	"Thu Dec 14 23:47:40 CST 2017"	"Wed Nov 29 23:46:19 CST 2017"	"Wed Nov 29 23:47:40 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":95.92,""top"":9.79,""width"":225.74,""height"":185.92,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3X66WABAJWIAFOTO1LJ7LL69L4O3GI"	"A350XR4T3AU6L8"	"Submitted"	"Fri Dec 15 00:14:55 CST 2017"	"Thu Nov 30 00:13:34 CST 2017"	"Thu Nov 30 00:14:55 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":84,""top"":-1.75,""width"":247,""height"":225,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3H7XDTSHKCR76MVCB5U9QIH6JXKWGJ"	"A3QVKKUE4IYQRN"	"Submitted"	"Fri Dec 15 00:35:11 CST 2017"	"Thu Nov 30 00:34:11 CST 2017"	"Thu Nov 30 00:35:11 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":88.01,""top"":2.86,""width"":247,""height"":221,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3B837J3LDOW5OVNH7BEKSXSSFTZRSV"	"A2ZRJMJTE6ID97"	"Submitted"	"Fri Dec 15 00:36:27 CST 2017"	"Thu Nov 30 00:35:44 CST 2017"	"Thu Nov 30 00:36:27 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":83.01,""top"":3.23,""width"":252,""height"":220,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3XCC1ODXDLBTBF84F7PFXXDRX5FRQ7"	"ASLY4WV7FCUDE"	"Submitted"	"Fri Dec 15 01:01:58 CST 2017"	"Thu Nov 30 01:01:38 CST 2017"	"Thu Nov 30 01:01:58 CST 2017"	""	""	""	""	""	"{""objects"":[],""background"":""""}"	"NICE"
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"33LK57MYLT5EQM98HS8XE0UROAJZSX"	"A2NVXYZX2IEYVJ"	"Submitted"	"Fri Dec 15 01:02:23 CST 2017"	"Thu Nov 30 01:01:47 CST 2017"	"Thu Nov 30 01:02:23 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""triangle"",""originX"":""center"",""originY"":""top"",""left"":200,""top"":-10.27,""width"":256,""height"":228,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":""""}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3CFJTT4SXTQ6CY06TLM0JEV55J57IM"	"AVQND8233HQWK"	"Submitted"	"Fri Dec 15 01:02:40 CST 2017"	"Thu Nov 30 01:01:38 CST 2017"	"Thu Nov 30 01:02:40 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":129,""top"":45.75,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1.35,""scaleY"":1.35,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":117.5,""ry"":107}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3Q5ZZ9ZEVOFY0OAAW6VC85NVBH5850"	"A191V8LNTTLHSA"	"Submitted"	"Fri Dec 15 01:03:28 CST 2017"	"Thu Nov 30 01:03:10 CST 2017"	"Thu Nov 30 01:03:28 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":144,""top"":64.25,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1.17,""scaleY"":1.17,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":128.5,""ry"":106.5}],""background"":""""}"	""
"34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"385XUCFVXWKWIODCUKORRNZXAFT4VW"	"Object Annotation Task - S - 11292309"	"object annotation"	"website, annotation"	"$0.01"	"Wed Nov 29 23:11:09 CST 2017"	"10"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/124.jpg"	"3600"	"1296000"	"Sat Dec 02 23:11:09 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=34YWR3PJ28ANYYRNH6WQIQDG1S10XE"	"3WRFBPLXRAOGPGAAOPW2B5F6MGD3NT"	"A3UE49REX108ZE"	"Submitted"	"Fri Dec 15 01:05:02 CST 2017"	"Thu Nov 30 01:04:50 CST 2017"	"Thu Nov 30 01:05:02 CST 2017"	""	""	""	""	""	"{""objects"":[],""background"":""""}"	"nice"
