"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.canvasAns"	"Answer.comment"
"3XEIP58NL0NP0PGO7H6UDVLFCQSLZN"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7270.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XEIP58NL0NP0PGO7H6UDVLFCQSLZN"	"3BV8HQ2ZZW182G33YNPVW27QX3A6AI"	"AH4SMMFHDHK1L"	"Submitted"	"Fri Dec 15 18:12:24 CST 2017"	"Thu Nov 30 18:11:58 CST 2017"	"Thu Nov 30 18:12:24 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":150,""top"":97.25,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1.08,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":125,""ry"":127}],""background"":""""}"	""
"3XEIP58NL0NP0PGO7H6UDVLFCQSLZN"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7270.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XEIP58NL0NP0PGO7H6UDVLFCQSLZN"	"3HVVDCPGTESF0WCIA6B4AYHBK2OTYQ"	"AGDDGSV1IQ0Z4"	"Submitted"	"Fri Dec 15 18:15:10 CST 2017"	"Thu Nov 30 18:14:44 CST 2017"	"Thu Nov 30 18:15:10 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":69,""top"":14.65,""width"":257,""height"":260,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3XEIP58NL0NP0PGO7H6UDVLFCQSLZN"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7270.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3XEIP58NL0NP0PGO7H6UDVLFCQSLZN"	"3HRMW88U16QEQ6QDT1ZJWSSZEHFM0J"	"A2027D8EZOU608"	"Submitted"	"Fri Dec 15 18:49:53 CST 2017"	"Thu Nov 30 18:49:00 CST 2017"	"Thu Nov 30 18:49:53 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":153.55,""top"":85.03,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":0.91,""scaleY"":1.35,""angle"":359.08,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":137.5,""ry"":102.5}],""background"":""""}"	""
"3ZQA3IO31BR0BEYDCYDUDI5XUGKO1I"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7586.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3ZQA3IO31BR0BEYDCYDUDI5XUGKO1I"	"3IXQG4FA2TY039AT28S3BNIY5M2B9S"	"AH4SMMFHDHK1L"	"Submitted"	"Fri Dec 15 18:02:35 CST 2017"	"Thu Nov 30 18:01:25 CST 2017"	"Thu Nov 30 18:02:35 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""triangle"",""originX"":""center"",""originY"":""top"",""left"":214,""top"":13.25,""width"":201,""height"":227,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":""""}],""background"":""""}"	""
"3ZQA3IO31BR0BEYDCYDUDI5XUGKO1I"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7586.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3ZQA3IO31BR0BEYDCYDUDI5XUGKO1I"	"3ON104KXQKWRU62SG4S8HTK3TV6W4X"	"AGDDGSV1IQ0Z4"	"Submitted"	"Fri Dec 15 18:12:12 CST 2017"	"Thu Nov 30 18:11:20 CST 2017"	"Thu Nov 30 18:12:12 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":115,""top"":18.65,""width"":195,""height"":223,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3ZQA3IO31BR0BEYDCYDUDI5XUGKO1I"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7586.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3ZQA3IO31BR0BEYDCYDUDI5XUGKO1I"	"3H7Z272LX77X85CCAADUBGEIMK1PLR"	"A2RAPGB2VBAP0N"	"Submitted"	"Fri Dec 15 18:55:57 CST 2017"	"Thu Nov 30 18:55:45 CST 2017"	"Thu Nov 30 18:55:57 CST 2017"	""	""	""	""	""	"{""objects"":[],""background"":""""}"	""
"3R4QIDVOJPCDJOF0U85DFQUDFNIEEN"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7609.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3R4QIDVOJPCDJOF0U85DFQUDFNIEEN"	"31QNSG6A5RTDNSOTKZA96P1R2QS78C"	"AH4SMMFHDHK1L"	"Submitted"	"Fri Dec 15 17:51:30 CST 2017"	"Thu Nov 30 17:50:53 CST 2017"	"Thu Nov 30 17:51:30 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":59,""top"":70.65,""width"":322,""height"":182,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3R4QIDVOJPCDJOF0U85DFQUDFNIEEN"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7609.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3R4QIDVOJPCDJOF0U85DFQUDFNIEEN"	"3GD6L00D3SXEXVBVPK3JAXB9J9K1M0"	"AGDDGSV1IQ0Z4"	"Submitted"	"Fri Dec 15 18:30:28 CST 2017"	"Thu Nov 30 18:30:08 CST 2017"	"Thu Nov 30 18:30:28 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":58,""top"":58.65,""width"":324,""height"":196,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3R4QIDVOJPCDJOF0U85DFQUDFNIEEN"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7609.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3R4QIDVOJPCDJOF0U85DFQUDFNIEEN"	"3UWN2HHPUY5K9XVPE4X3JDNIEZ8NS7"	"A2RAPGB2VBAP0N"	"Submitted"	"Fri Dec 15 19:00:43 CST 2017"	"Thu Nov 30 19:00:32 CST 2017"	"Thu Nov 30 19:00:43 CST 2017"	""	""	""	""	""	"{""objects"":[],""background"":""""}"	""
"3909MD9T2ZH5P2FWPJPJX8FDROXEF5"	"3XJ5RHVJOB3KKLPS0ROQ1PYTCCWLX9"	"Object Annotation Task - S - 11301605 - 6-10"	"object annotation"	"website, annotation"	"$0.01"	"Thu Nov 30 16:10:50 CST 2017"	"3"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7843.jpg"	"3600"	"1296000"	"Sun Dec 03 16:10:50 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3909MD9T2ZH5P2FWPJPJX8FDROXEF5"	"31Q0U3WYDPFVCS48LE1URFEJOKN17N"	"AGDDGSV1IQ0Z4"	"Submitted"	"Fri Dec 15 18:00:42 CST 2017"	"Thu Nov 30 18:00:21 CST 2017"	"Thu Nov 30 18:00:42 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":20,""top"":109.65,""width"":371,""height"":173,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
