"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.canvasAns"	"Answer.comment"
"3OPLMF3EU5NVJ0254TV0I8E63D1LNQ"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7586.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3OPLMF3EU5NVJ0254TV0I8E63D1LNQ"	"3RJSC4XJ10UGIZ5712IXFQHDSOK50B"	"ANURLPQ0CHHGU"	"Submitted"	"Sat Dec 16 11:38:29 CST 2017"	"Fri Dec 01 11:37:47 CST 2017"	"Fri Dec 01 11:38:29 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":56,""top"":5.25,""width"":273,""height"":260,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3OND0WXMHWFP3Y62K9DJ0TRQ84REHN"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/7843.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3OND0WXMHWFP3Y62K9DJ0TRQ84REHN"	"3R8YZBNQ9HIJTWOP6TR9SGMRWYDQ79"	"A2DNSD743W4OC2"	"Submitted"	"Sat Dec 16 11:54:12 CST 2017"	"Fri Dec 01 11:51:33 CST 2017"	"Fri Dec 01 11:54:12 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""ellipse"",""originX"":""left"",""originY"":""top"",""left"":148.64,""top"":136.03,""width"":100,""height"":100,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1.09,""scaleY"":1.16,""angle"":1.65,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":174,""ry"":66}],""background"":""""}"	""
"3O0M2G5VC62EWQRQXRDEEQHBC2P94M"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/8487.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3O0M2G5VC62EWQRQXRDEEQHBC2P94M"	"31IBVUNM9SZODXZCABJVMVYGBEAVFB"	"ANURLPQ0CHHGU"	"Submitted"	"Sat Dec 16 11:41:05 CST 2017"	"Fri Dec 01 11:39:45 CST 2017"	"Fri Dec 01 11:41:05 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":45,""top"":19.25,""width"":297,""height"":267,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3UXQ63NLAAMTIRD813QRRDECMONBLR"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/13308.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3UXQ63NLAAMTIRD813QRRDECMONBLR"	"37WLF8U1WPQEETCPAE2KQGAM2H16KY"	"ANURLPQ0CHHGU"	"Submitted"	"Sat Dec 16 11:41:46 CST 2017"	"Fri Dec 01 11:41:06 CST 2017"	"Fri Dec 01 11:41:46 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":119,""top"":160.25,""width"":227,""height"":117,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3S1WOPCJFGTLU41S89G4C675LWVJEX"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/13317.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3S1WOPCJFGTLU41S89G4C675LWVJEX"	"3QRYMNZ7FYHLOX84342TTIJ4GKHNTV"	"ANURLPQ0CHHGU"	"Submitted"	"Sat Dec 16 11:43:18 CST 2017"	"Fri Dec 01 11:42:52 CST 2017"	"Fri Dec 01 11:43:18 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":165,""top"":51.25,""width"":236,""height"":185,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3IYI9285WS06X6HECIA9MI720KIJC4"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/11156.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3IYI9285WS06X6HECIA9MI720KIJC4"	"3KWTYT08703TFVUTQV4GDA91VMVL50"	"ANURLPQ0CHHGU"	"Submitted"	"Sat Dec 16 11:42:51 CST 2017"	"Fri Dec 01 11:41:47 CST 2017"	"Fri Dec 01 11:42:51 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":9,""top"":45.25,""width"":279,""height"":246,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"37J05LC5AXJG2YNSCE5K6OPKLKUJD4"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/11230.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=37J05LC5AXJG2YNSCE5K6OPKLKUJD4"	"3DL65MZB8DF08ATGOJ4KELPRE6GECE"	"A2DNSD743W4OC2"	"Submitted"	"Sat Dec 16 11:45:20 CST 2017"	"Fri Dec 01 11:42:23 CST 2017"	"Fri Dec 01 11:45:20 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":9.01,""top"":11.68,""width"":159,""height"":292,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3AXFSPQOYQYD0I1O3K0AUOS5XXAJFF"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/16491.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3AXFSPQOYQYD0I1O3K0AUOS5XXAJFF"	"3ND9UOO81K2NSE9DMWRP3AMEFJZLWH"	"ANURLPQ0CHHGU"	"Submitted"	"Sat Dec 16 11:43:42 CST 2017"	"Fri Dec 01 11:43:19 CST 2017"	"Fri Dec 01 11:43:42 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":15,""top"":18.25,""width"":248,""height"":269,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3SNR5F7R92TPZTHMQRV405S58H6EIG"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/11542.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3SNR5F7R92TPZTHMQRV405S58H6EIG"	"3QBD8R3Z21JJPXTQPI1Y0Z7HQV6O4G"	"A2DNSD743W4OC2"	"Submitted"	"Sat Dec 16 11:55:24 CST 2017"	"Fri Dec 01 11:54:19 CST 2017"	"Fri Dec 01 11:55:24 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":31.01,""top"":39.68,""width"":209,""height"":205,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
"3KVQ0UJWPXL7458Y476GX2V0AZ55WD"	"3S942EFUVJD5JVAB21MLXL0USHGJEW"	"Object Annotation Task - S - 12011118 - 6-10 - 3"	"object annotation"	"website, annotation"	"$0.01"	"Fri Dec 01 11:26:43 CST 2017"	"1"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"https://cvc.ischool.utexas.edu/~zenxi/finalProject/17057.jpg"	"3600"	"1296000"	"Mon Dec 04 11:26:43 CST 2017"	"https://requester.mturk.com/mturk/manageHIT?HITId=3KVQ0UJWPXL7458Y476GX2V0AZ55WD"	"3CN4LGXD5XOVJBXSV5AW2Q5J4554Y7"	"A2DNSD743W4OC2"	"Submitted"	"Sat Dec 16 11:51:27 CST 2017"	"Fri Dec 01 11:49:07 CST 2017"	"Fri Dec 01 11:51:27 CST 2017"	""	""	""	""	""	"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":62.01,""top"":29.68,""width"":267,""height"":211,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	""
