hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.canvasAns	Answer.comment
3AJA9FLWSCYH57HIL2FAIND5JHSIF6	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:52 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/912.jpg	3600	1296000	Sun Dec 03 09:33:52 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3AJA9FLWSCYH57HIL2FAIND5JHSIF6	3QHK8ZVMIMIV4BB2R5VTGW9T5EPBLR	AGDDGSV1IQ0Z4	Submitted	Fri Dec 15 09:40:16 CST 2017	Thu Nov 30 09:39:41 CST 2017	Thu Nov 30 09:40:16 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":72,""top"":2.25,""width"":235,""height"":232,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
3AJA9FLWSCYH57HIL2FAIND5JHSIF6	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:52 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/912.jpg	3600	1296000	Sun Dec 03 09:33:52 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3AJA9FLWSCYH57HIL2FAIND5JHSIF6	3NVC2EB65QZA1FEOVR5DSLDDQ1G3YK	AH4SMMFHDHK1L	Submitted	Fri Dec 15 09:41:39 CST 2017	Thu Nov 30 09:40:37 CST 2017	Thu Nov 30 09:41:39 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":82,""top"":-0.75,""width"":225,""height"":233,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
3AJA9FLWSCYH57HIL2FAIND5JHSIF6	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:52 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/912.jpg	3600	1296000	Sun Dec 03 09:33:52 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3AJA9FLWSCYH57HIL2FAIND5JHSIF6	37UEWGM5HT85UBONUSZ0WW5JPUNR1E	A4H1NYJVE7C53	Submitted	Fri Dec 15 09:46:23 CST 2017	Thu Nov 30 09:45:59 CST 2017	Thu Nov 30 09:46:23 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":75.01,""top"":1.23,""width"":234,""height"":236,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
362E9TQF2HQNJ7DDWMLS08DHKWSIG5	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:53 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/1865.jpg	3600	1296000	Sun Dec 03 09:33:53 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=362E9TQF2HQNJ7DDWMLS08DHKWSIG5	3AUQQEL7U5TXGTKM7T0AJOBC58U0VD	A36ABFLSNFESVJ	Submitted	Fri Dec 15 09:36:45 CST 2017	Thu Nov 30 09:35:50 CST 2017	Thu Nov 30 09:36:45 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":25,""top"":102.25,""width"":140,""height"":200,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
362E9TQF2HQNJ7DDWMLS08DHKWSIG5	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:53 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/1865.jpg	3600	1296000	Sun Dec 03 09:33:53 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=362E9TQF2HQNJ7DDWMLS08DHKWSIG5	3300DTYQT2H42B3ZT15FYQE8IHPEQJ	A4H1NYJVE7C53	Submitted	Fri Dec 15 09:43:40 CST 2017	Thu Nov 30 09:41:37 CST 2017	Thu Nov 30 09:43:40 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":25.01,""top"":101.23,""width"":141,""height"":198,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
362E9TQF2HQNJ7DDWMLS08DHKWSIG5	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:53 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/1865.jpg	3600	1296000	Sun Dec 03 09:33:53 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=362E9TQF2HQNJ7DDWMLS08DHKWSIG5	35K3O9HUABD7BMDQFLULMRAUBFIEFR	A1GYCK2M1V7P3B	Submitted	Fri Dec 15 10:02:53 CST 2017	Thu Nov 30 10:01:54 CST 2017	Thu Nov 30 10:02:53 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":25,""top"":100.25,""width"":137,""height"":197,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	EASY WORK
306W7JMRYYYY3KTP7EHNM8S61NV8B6	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:53 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/3514.jpg	3600	1296000	Sun Dec 03 09:33:53 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=306W7JMRYYYY3KTP7EHNM8S61NV8B6	30LSNF239UVZQX30N955NNEXU4I2I2	AGDDGSV1IQ0Z4	Submitted	Fri Dec 15 09:41:01 CST 2017	Thu Nov 30 09:40:32 CST 2017	Thu Nov 30 09:41:01 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":136,""top"":87.25,""width"":143,""height"":103,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
306W7JMRYYYY3KTP7EHNM8S61NV8B6	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:53 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/3514.jpg	3600	1296000	Sun Dec 03 09:33:53 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=306W7JMRYYYY3KTP7EHNM8S61NV8B6	32XVDSJFPZXLMGTR8O3XFGLEBD2M22	A36ABFLSNFESVJ	Submitted	Fri Dec 15 09:46:21 CST 2017	Thu Nov 30 09:45:45 CST 2017	Thu Nov 30 09:46:21 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":136,""top"":88.25,""width"":140,""height"":105,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
306W7JMRYYYY3KTP7EHNM8S61NV8B6	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:53 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/3514.jpg	3600	1296000	Sun Dec 03 09:33:53 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=306W7JMRYYYY3KTP7EHNM8S61NV8B6	3L2IS5HSFAI0OANT39S3YE56ZUXUNU	A4H1NYJVE7C53	Submitted	Fri Dec 15 09:59:03 CST 2017	Thu Nov 30 09:58:33 CST 2017	Thu Nov 30 09:59:03 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":140.01,""top"":86.23,""width"":136,""height"":108,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
3D17ECOUOEVBPP5RT0T2PF7MZPC31Q	3D8ERG8DI83SUQZKPTXRHU2KBWDAMW	Object Annotation Task - S - 11300932 - 2-4	object annotation	"website, annotation"	$ 0.01	Thu Nov 30 09:33:52 CST 2017	3	0	0	0	Reviewable	NotReviewed	https://cvc.ischool.utexas.edu/~zenxi/finalProject/1210.jpg	3600	1296000	Sun Dec 03 09:33:52 CST 2017	https://requester.mturk.com/mturk/manageHIT?HITId=3D17ECOUOEVBPP5RT0T2PF7MZPC31Q	3YDTZAI2WXGYT5MPJG3NO3U9XG3145	A36ABFLSNFESVJ	Submitted	Fri Dec 15 09:37:05 CST 2017	Thu Nov 30 09:36:33 CST 2017	Thu Nov 30 09:37:05 CST 2017						"{""objects"":[{""type"":""rect"",""originX"":""left"",""originY"":""top"",""left"":4,""top"":73.25,""width"":385,""height"":172,""fill"":"""",""stroke"":""yellow"",""strokeWidth"":1,""strokeDashArray"":null,""strokeLineCap"":""butt"",""strokeLineJoin"":""miter"",""strokeMiterLimit"":10,""scaleX"":1,""scaleY"":1,""angle"":0,""flipX"":false,""flipY"":false,""opacity"":1,""shadow"":null,""visible"":true,""clipTo"":null,""backgroundColor"":"""",""rx"":0,""ry"":0,""x"":0,""y"":0}],""background"":""""}"	
